frame,track_id,centroid_x_m,centroid_y_m,bottom_x_m,bottom_y_m,delta_x,delta_y,alt_cx_m,alt_cy_m,delta_alt_x,delta_alt_y
183,4,0.985,6.024,1.412,6.275,0.0,-0.001,0.939,6.001,0.014,0.007
183,1,1.809,6.083,2.262,6.391,0.01,0.0,1.757,6.057,-0.0,0.003
184,4,0.981,6.019,1.407,6.268,-0.004,-0.005,0.955,6.008,0.016,0.007
184,1,1.806,6.08,2.267,6.377,-0.003,-0.003,1.791,6.078,0.035,0.021
185,4,0.968,6.011,1.414,6.272,-0.013,-0.008,0.935,5.993,-0.021,-0.015
185,1,1.814,6.085,2.286,6.381,0.009,0.005,1.8,6.076,0.009,-0.002
186,4,0.971,6.011,1.413,6.261,0.002,0.0,0.859,5.944,-0.076,-0.049
186,1,1.811,6.081,2.283,6.376,-0.003,-0.004,1.808,6.083,0.008,0.008
187,4,0.98,6.014,1.404,6.26,0.01,0.004,0.987,6.021,0.128,0.077
187,1,1.825,6.088,2.299,6.391,0.014,0.007,1.794,6.065,-0.014,-0.018
188,4,0.99,6.018,1.427,6.267,0.01,0.004,0.997,6.026,0.01,0.005
188,1,1.838,6.094,2.299,6.391,0.013,0.006,1.805,6.075,0.011,0.01
189,4,1.003,6.024,1.442,6.272,0.013,0.006,1.058,6.059,0.061,0.032
189,1,1.83,6.084,2.289,6.394,-0.008,-0.01,1.801,6.072,-0.004,-0.003
190,4,1.005,6.023,1.434,6.271,0.003,-0.001,1.002,6.026,-0.056,-0.033
190,1,1.821,6.078,2.294,6.388,-0.009,-0.006,1.807,6.074,0.007,0.002
191,4,1.005,6.021,1.444,6.27,-0.0,-0.002,0.926,5.977,-0.076,-0.049
191,1,1.82,6.072,2.276,6.384,-0.001,-0.006,1.69,5.984,-0.117,-0.09
192,4,0.996,6.013,1.442,6.272,-0.009,-0.008,0.851,5.928,-0.075,-0.049
192,1,1.823,6.073,2.3,6.382,0.003,0.001,1.8,6.055,0.11,0.07
193,4,1.011,6.022,1.448,6.276,0.014,0.009,0.961,5.998,0.11,0.07
193,1,1.815,6.064,2.29,6.384,-0.008,-0.008,1.755,6.03,-0.044,-0.025
194,4,1.019,6.025,1.456,6.277,0.008,0.003,0.962,5.995,0.001,-0.003
194,1,1.813,6.057,2.306,6.383,-0.002,-0.007,1.674,5.957,-0.081,-0.072
195,4,1.024,6.028,1.434,6.271,0.005,0.003,0.933,5.979,-0.029,-0.016
195,1,1.811,6.058,2.294,6.388,-0.002,0.001,1.698,5.982,0.025,0.025
196,4,1.031,6.032,1.442,6.272,0.007,0.004,0.985,6.008,0.052,0.029
196,1,1.82,6.061,2.301,6.396,0.009,0.003,1.68,5.968,-0.018,-0.014
197,4,1.035,6.034,1.47,6.283,0.004,0.002,0.968,5.997,-0.017,-0.011
197,1,1.835,6.068,2.318,6.402,0.015,0.007,1.795,6.051,0.115,0.083
198,4,1.031,6.03,1.47,6.283,-0.005,-0.004,1.044,6.04,0.076,0.043
198,1,1.841,6.071,2.318,6.402,0.006,0.003,1.801,6.048,0.006,-0.003
199,4,1.045,6.037,1.467,6.288,0.015,0.007,0.989,6.009,-0.055,-0.031
199,1,1.827,6.059,2.321,6.39,-0.014,-0.012,1.738,5.998,-0.063,-0.05
200,4,1.038,6.033,1.478,6.284,-0.008,-0.004,1.014,6.019,0.026,0.011
200,1,1.828,6.056,2.323,6.388,0.0,-0.003,1.702,5.969,-0.036,-0.029
201,4,1.033,6.03,1.469,6.285,-0.005,-0.003,0.981,6.001,-0.033,-0.018
201,1,1.827,6.053,2.328,6.399,-0.0,-0.003,1.724,5.981,0.022,0.011
202,4,1.029,6.025,1.477,6.287,-0.004,-0.005,0.945,5.975,-0.037,-0.026
202,1,1.858,6.073,2.341,6.409,0.031,0.02,1.844,6.073,0.12,0.092
203,4,1.039,6.03,1.477,6.287,0.01,0.005,0.993,6.007,0.049,0.032
203,1,1.856,6.071,2.344,6.405,-0.003,-0.002,1.739,5.987,-0.105,-0.086
204,4,1.043,6.032,1.482,6.28,0.004,0.002,0.997,6.005,0.004,-0.002
204,1,1.855,6.068,2.346,6.403,-0.001,-0.003,1.738,5.984,-0.001,-0.002
205,4,1.053,6.036,1.486,6.286,0.011,0.004,1.056,6.039,0.058,0.034
205,1,1.84,6.057,2.334,6.4,-0.014,-0.011,1.723,5.971,-0.015,-0.014
206,4,1.052,6.035,1.478,6.284,-0.002,-0.001,1.036,6.03,-0.02,-0.009
206,1,1.849,6.061,2.338,6.403,0.008,0.004,1.742,5.98,0.019,0.01
207,4,1.059,6.038,1.496,6.285,0.007,0.003,1.036,6.026,-0.0,-0.003
207,1,1.842,6.054,2.344,6.397,-0.007,-0.007,1.75,5.984,0.008,0.004
208,4,1.056,6.035,1.48,6.282,-0.003,-0.002,1.033,6.024,-0.003,-0.002
208,1,1.842,6.053,2.336,6.405,0.001,-0.0,1.755,5.989,0.005,0.005
209,1,1.843,6.051,2.336,6.405,0.001,-0.002,1.728,5.968,-0.026,-0.021
209,4,1.058,6.036,1.482,6.28,0.002,0.001,1.018,6.014,-0.015,-0.01
210,4,1.068,6.04,1.482,6.28,0.01,0.004,0.917,5.949,-0.101,-0.066
210,1,1.845,6.051,2.352,6.404,0.002,0.0,1.755,5.984,0.027,0.017
211,4,1.074,6.043,1.494,6.287,0.006,0.003,0.936,5.961,0.019,0.013
211,1,1.844,6.049,2.336,6.398,-0.001,-0.003,1.757,5.986,0.002,0.002
212,1,1.832,6.039,2.338,6.403,-0.012,-0.01,1.758,5.984,0.001,-0.002
212,4,1.085,6.048,1.486,6.286,0.011,0.005,0.999,6.002,0.063,0.041
213,1,1.835,6.039,2.332,6.395,0.003,0.001,1.777,5.997,0.019,0.013
213,4,1.077,6.042,1.488,6.283,-0.007,-0.007,0.874,5.919,-0.124,-0.083
214,1,1.832,6.035,2.319,6.385,-0.003,-0.005,1.747,5.974,-0.03,-0.023
214,4,1.088,6.05,1.504,6.286,0.011,0.008,0.941,5.959,0.066,0.041
215,1,1.828,6.03,2.324,6.379,-0.004,-0.005,1.744,5.964,-0.003,-0.01
215,4,1.084,6.047,1.498,6.283,-0.004,-0.003,0.953,5.968,0.013,0.009
216,4,1.083,6.044,1.51,6.29,-0.001,-0.002,0.941,5.96,-0.013,-0.008
216,1,1.836,6.036,2.339,6.387,0.008,0.006,1.778,5.992,0.034,0.029
217,4,1.099,6.053,1.518,6.292,0.016,0.008,0.926,5.949,-0.015,-0.011
217,1,1.826,6.029,2.331,6.38,-0.01,-0.007,1.771,5.988,-0.006,-0.004
218,4,1.105,6.058,1.51,6.29,0.007,0.006,1.127,6.076,0.202,0.127
218,1,1.827,6.03,2.324,6.372,0.002,0.001,1.757,5.975,-0.015,-0.014
219,4,1.094,6.05,1.517,6.294,-0.012,-0.009,1.068,6.039,-0.06,-0.037
219,1,1.832,6.032,2.316,6.372,0.005,0.003,1.778,5.994,0.022,0.019
220,4,1.079,6.04,1.502,6.289,-0.015,-0.009,1.035,6.017,-0.033,-0.021
