frame,track_id,centroid_x_m,centroid_y_m,bottom_x_m,bottom_y_m,delta_x,delta_y,alt_cx_m,alt_cy_m,delta_alt_x,delta_alt_y
92,2,0.764,1.896,3.161,3.823,-0.074,-0.234,-2.304,0.008,-1.396,-1.022
92,3,-2.206,-3.352,2.067,0.739,-0.209,-0.436,-7.784,-8.48,-0.127,-0.171
93,3,-2.037,-3.348,2.107,0.66,0.17,0.004,-8.881,-9.747,-1.097,-1.267
93,1,-5.385,-9.512,-0.187,-3.162,0.107,-0.047,-13.813,-19.47,0.689,0.351
93,2,0.576,1.592,3.21,3.709,-0.187,-0.303,-2.291,-0.274,0.013,-0.281
94,2,0.759,1.515,3.231,3.66,0.183,-0.077,-1.569,-0.219,0.722,0.054
94,1,-6.317,-10.851,0.136,-3.363,-0.932,-1.339,-16.853,-23.114,-3.04,-3.644
94,3,-2.687,-4.095,1.997,0.471,-0.651,-0.746,-9.057,-10.702,-0.177,-0.956
95,1,-6.409,-11.09,0.127,-3.45,-0.092,-0.24,-15.435,-21.654,1.418,1.459
95,2,0.579,1.218,3.303,3.494,-0.181,-0.297,-2.613,-1.302,-1.044,-1.083
95,3,-2.484,-4.135,1.686,0.215,0.203,-0.04,-7.322,-8.831,1.735,1.871
96,2,0.549,1.012,3.349,3.353,-0.03,-0.206,-3.242,-1.924,-0.629,-0.622
96,1,-5.845,-10.564,0.385,-3.069,0.564,0.526,-19.534,-26.847,-4.098,-5.192
96,3,-2.79,-4.622,1.695,-0.458,-0.306,-0.487,-8.207,-10.247,-0.885,-1.416
97,2,0.471,0.767,3.318,3.188,-0.077,-0.245,-3.817,-2.676,-0.575,-0.753
97,1,-5.5,-10.292,0.385,-3.069,0.345,0.273,-15.205,-22.098,4.328,4.749
97,3,-2.845,-4.797,1.682,-0.566,-0.055,-0.175,-8.923,-11.235,-0.716,-0.987
98,1,-5.698,-10.638,0.231,-3.413,-0.198,-0.347,-18.024,-25.702,-2.819,-3.604
98,3,-3.398,-5.586,1.494,-0.629,-0.554,-0.789,-10.238,-12.543,-1.315,-1.308
98,2,0.176,0.351,3.255,2.913,-0.295,-0.416,-3.554,-2.812,0.263,-0.136
99,1,-5.864,-10.924,0.098,-3.508,-0.166,-0.285,-16.99,-24.532,1.034,1.17
99,3,-3.07,-5.32,1.548,-0.659,0.328,0.266,-9.741,-12.353,0.497,0.19
99,2,-0.037,0.01,3.274,2.689,-0.213,-0.341,-4.834,-4.059,-1.28,-1.247
100,2,0.013,-0.122,3.121,2.585,0.051,-0.132,-5.342,-4.708,-0.508,-0.649
100,1,-6.8,-12.179,-0.366,-4.083,-0.936,-1.256,-15.175,-22.554,1.815,1.979
100,3,-3.425,-5.874,1.408,-0.826,-0.355,-0.553,-9.434,-12.288,0.307,0.065
101,3,-3.597,-6.191,1.392,-0.87,-0.172,-0.317,-11.323,-14.468,-1.889,-2.181
101,2,-0.238,-0.482,3.065,2.437,-0.251,-0.36,-4.32,-3.766,1.022,0.942
101,1,-6.946,-12.412,-0.394,-4.154,-0.145,-0.233,-17.474,-25.519,-2.299,-2.966
102,3,-4.123,-6.877,1.145,-1.169,-0.526,-0.687,-10.95,-14.362,0.373,0.106
102,2,-0.674,-1.054,2.868,2.09,-0.437,-0.572,-5.696,-5.442,-1.376,-1.675
102,1,-8.127,-13.983,-0.386,-4.394,-1.181,-1.571,-17.805,-26.498,-0.331,-0.978
103,2,-0.863,-1.336,2.78,1.929,-0.188,-0.283,-5.367,-5.438,0.329,0.004
103,3,-4.281,-7.297,1.215,-1.219,-0.158,-0.42,-14.923,-19.102,-3.972,-4.739
103,1,-8.857,-15.116,-0.634,-4.732,-0.73,-1.134,-17.638,-26.24,0.168,0.258
104,2,-0.943,-1.52,2.796,1.897,-0.08,-0.184,-6.019,-6.331,-0.652,-0.893
104,1,-8.909,-15.203,-0.705,-4.871,-0.052,-0.087,-14.806,-22.636,2.831,3.604
104,3,-4.944,-8.15,0.828,-1.738,-0.664,-0.853,-11.703,-15.877,3.22,3.225
105,2,-0.975,-1.664,2.82,1.799,-0.033,-0.144,-5.435,-5.791,0.584,0.54
